Group Name,Occupation,Country,Expertise areas,Previous Involvement,Previous Training in Teaching,Previous Experience in Teaching
,support,CA,"Computer science/electrical engineering, Economics/business, High performance computing, Library and information science, Mathematics/statistics","helper, instructor",A workshop,A workshop (full day or longer)
,librarian,CA,Library and information science,learner,Other,Primary instructor for a full course
group_name,librarian,CA,"Humanities, Library and information science",learner,A certification or short course,Other
group_name,faculty,CA,"Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",learner,None,Primary instructor for a full course
group_name,faculty,CA,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor, host, organizer",A few hours,Primary instructor for a full course
group_name,postdoc,CA,"Genetics, genomics, bioinformatics",learner,A workshop,Teaching assistant for a full course
,librarian,CA,Library and information science,learner,A certification or short course,Primary instructor for a full course
,research,CA,"Computer science/electrical engineering, Psychology/neuroscience",contributor,A certification or short course,Primary instructor for a full course
group_name,librarian,CA,Library and information science,,A certification or short course,A workshop (full day or longer)
,,CA,Computer science/electrical engineering,learner,None,None
group_name,librarian,CA,"Economics/business, Humanities, Library and information science","helper, instructor, organizer",Other,Primary instructor for a full course
,undergrad,NG,"Planetary sciences (geology, climatology, oceanography, etc.)","helper, instructor, organizer",A workshop,A workshop (full day or longer)
,research,NO,"Computer science/electrical engineering, Mathematics/statistics, Psychology/neuroscience",,A certification or short course,Teaching assistant for a full course
,postdoc,TN,"Civil, mechanical, chemical, or nuclear engineering, Education, Genetics, genomics, bioinformatics",learner,None,Teaching assistant for a full course
group_name,support,US,Humanities,"instructor, learner",A workshop,Primary instructor for a full course
group_name,grad,NO,Economics/business,learner,None,None
,faculty,US,"Computer science/electrical engineering, Planetary sciences (geology, climatology, oceanography, etc.)",learner,None,Other
,research,GB,Computer science/electrical engineering,"learner, contributor",None,None
group_name,research,NO,Psychology/neuroscience,"helper, learner",A few hours,Primary instructor for a full course
group_name,grad,US,"Economics/business, Mathematics/statistics, Social sciences",learner,A workshop,Primary instructor for a full course
group_name,grad,GB,"Genetics, genomics, bioinformatics",helper,None,None
group_name,research,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",helper,A few hours,Teaching assistant for a full course
group_name,postdoc,NO,"Physics, Planetary sciences (geology, climatology, oceanography, etc.), Space sciences",learner,A few hours,A few hours
,faculty,US,Social sciences,,None,Primary instructor for a full course
group_name,commerce,US,Computer science/electrical engineering,,None,Primary instructor for a full course
group_name,grad,NO,"Computer science/electrical engineering, Humanities",learner,None,A few hours
,librarian,US,Library and information science,,None,Other
group_name,grad,US,Computer science/electrical engineering,"helper, instructor, learner, organizer, contributor",None,A workshop (full day or longer)
,,DE,"Chemistry, Mathematics/statistics",,None,A workshop (full day or longer)
group_name,support,AU,"Genetics, genomics, bioinformatics, Mathematics/statistics",helper,None,A workshop (full day or longer)
group_name,grad,US,"Chemistry, Genetics, genomics, bioinformatics, Medicine",,None,Teaching assistant for a full course
group_name,,US,"Chemistry, Genetics, genomics, bioinformatics, High performance computing",instructor,None,None
group_name,grad,US,Economics/business,learner,None,None
group_name,,US,"Genetics, genomics, bioinformatics",instructor,None,None
group_name,grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",Other,Other
group_name,librarian,US,Humanities,,A certification or short course,Primary instructor for a full course
group_name,faculty,US,,learner,A certification or short course,Primary instructor for a full course
group_name,grad,US,Social sciences,learner,A workshop,Primary instructor for a full course
group_name,grad,US,"Genetics, genomics, bioinformatics, High performance computing",learner,None,Teaching assistant for a full course
,,NL,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",learner,None,Teaching assistant for a full course
group_name,undergrad,US,Mathematics/statistics,,Other,Teaching assistant for a full course
,undergrad,US,Mathematics/statistics,,Other,Teaching assistant for a full course
group_name,grad,US,"Organismal biology (ecology, botany, zoology, microbiology), Psychology/neuroscience",A certification or short course,,Teaching assistant for a full course
group_name,undisclosed,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Physics",,Other,Other
group_name,grad,US,"Genetics, genomics, bioinformatics, High performance computing, Physics",,None,A few hours
,grad,US,"Genetics, genomics, bioinformatics, High performance computing, Physics",,None,A few hours
,postdoc,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Physics",,Other,A few hours
group_name,research,US,"Genetics, genomics, bioinformatics, High performance computing",,None,None
,research,US,Mathematics/statistics,,A few hours,Teaching assistant for a full course
group_name,grad,AU,"Education, Humanities, Social sciences",learner,A full degree,Primary instructor for a full course
group_name,faculty,AU,"Computer science/electrical engineering, Physics",learner,None,Primary instructor for a full course
group_name,research,AU,Humanities,"helper, learner",A certification or short course,Primary instructor for a full course
group_name,faculty,US,"High performance computing, Mathematics/statistics",,None,Primary instructor for a full course
group_name,faculty,US,"Computer science/electrical engineering, Mathematics/statistics",learner,A workshop,Primary instructor for a full course
group_name,faculty,US,"High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)","helper, learner",A certification or short course,Primary instructor for a full course
group_name,faculty,US,"High performance computing, Mathematics/statistics",,None,Primary instructor for a full course
group_name,faculty,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",learner,A certification or short course,Primary instructor for a full course
group_name,faculty,US,"Planetary sciences (geology, climatology, oceanography, etc.)",,A workshop,Primary instructor for a full course
group_name,postdoc,AU,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,A certification or short course,None
group_name,,AU,Computer science/electrical engineering,,None,Primary instructor for a full course
,librarian,NL,"Computer science/electrical engineering, Humanities, Library and information science",,None,Primary instructor for a full course
group_name,librarian,AU,"Economics/business, Library and information science, Mathematics/statistics, Physics, Space sciences","instructor, learner",None,A few hours
group_name,support,AU,"Economics/business, Mathematics/statistics",,None,Teaching assistant for a full course
group_name,librarian,AU,Library and information science,"helper, learner",A full degree,Other
group_name,grad,AU,Mathematics/statistics,,None,A workshop (full day or longer)
group_name,research,AU,"Computer science/electrical engineering, Physics",,A workshop,Teaching assistant for a full course
group_name,research,NZ,,,A few hours,Teaching assistant for a full course
group_name,,AR,Chemistry,host,A few hours,Teaching assistant for a full course
group_name,postdoc,ZA,"Organismal biology (ecology, botany, zoology, microbiology)",learner,None,None
group_name,postdoc,ZA,"Organismal biology (ecology, botany, zoology, microbiology)",learner,None,None
group_name,grad,AR,Computer science/electrical engineering,learner,None,Other
group_name,grad,US,"Organismal biology (ecology, botany, zoology, microbiology), Social sciences",,A workshop,A workshop (full day or longer)
group_name,faculty,AR,"Computer science/electrical engineering, Education, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.), Space sciences",learner,None,Primary instructor for a full course
group_name,grad,GB,Computer science/electrical engineering,,A workshop,Teaching assistant for a full course
group_name,research,GB,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",,A few hours,A few hours
group_name,faculty,AR,"Mathematics/statistics, Medicine",,None,Other
group_name,grad,AR,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,A certification or short course,Teaching assistant for a full course
group_name,grad,AR,"Planetary sciences (geology, climatology, oceanography, etc.)",,None,A workshop (full day or longer)
group_name,support,NZ,"Education, Humanities","helper, host, learner, organizer",A workshop,Primary instructor for a full course
group_name,grad,AR,"Education, Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,Primary instructor for a full course
group_name,grad,AR,Humanities,"host, learner",A few hours,Teaching assistant for a full course
,grad,US,"Education, Humanities, Social sciences",learner,A full degree,Primary instructor for a full course
group_name,support,AU,"Computer science/electrical engineering, High performance computing",helper,None,Primary instructor for a full course
group_name,research,AU,"Computer science/electrical engineering, Mathematics/statistics",,None,Primary instructor for a full course
group_name,grad,AU,"Civil, mechanical, chemical, or nuclear engineering, High performance computing, Mathematics/statistics",,A workshop,Teaching assistant for a full course
group_name,postdoc,AU,"Genetics, genomics, bioinformatics","helper, instructor",A few hours,Teaching assistant for a full course
group_name,postdoc,AU,"Genetics, genomics, bioinformatics",learner,None,None
,postdoc,US,Social sciences,,A certification or short course,A few hours
group_name,support,AU,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,None,None
group_name,support,AU,High performance computing,helper,None,A few hours
group_name,undisclosed,AU,,,A workshop,Teaching assistant for a full course
,research,AU,"Computer science/electrical engineering, Library and information science, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",,A workshop,Teaching assistant for a full course
group_name,postdoc,AU,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",,A few hours,A few hours
group_name,support,AU,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",,None,Primary instructor for a full course
group_name,research,AU,"Genetics, genomics, bioinformatics",,A workshop,Teaching assistant for a full course
group_name,librarian,AU,Computer science/electrical engineering,learner,A certification or short course,A workshop (full day or longer)
group_name,support,AU,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics",helper,A workshop,A workshop (full day or longer)
group_name,librarian,AU,Library and information science,learner,A certification or short course,A workshop (full day or longer)
,grad,US,Psychology/neuroscience,,A workshop,Teaching assistant for a full course
group_name,faculty,AU,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Education, Mathematics/statistics, Physics",learner,A certification or short course,Primary instructor for a full course
group_name,support,AU,"Computer science/electrical engineering, High performance computing, Physics",,Other,Primary instructor for a full course
group_name,faculty,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,A few hours,Primary instructor for a full course
group_name,postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",None,Teaching assistant for a full course
group_name,grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",,A few hours,Teaching assistant for a full course
,research,CA,Psychology/neuroscience,learner,A certification or short course,Teaching assistant for a full course
,postdoc,US,"Genetics, genomics, bioinformatics",learner,None,Other
,postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",learner,A certification or short course,Other
,faculty,US,Computer science/electrical engineering,,None,Primary instructor for a full course
,support,US,Computer science/electrical engineering,learner,A few hours,A few hours
,support,US,,,Other,Primary instructor for a full course
group_name,grad,US,"Economics/business, Mathematics/statistics, Social sciences",,Other,Primary instructor for a full course
group_name,undisclosed,US,"Civil, mechanical, chemical, or nuclear engineering, Economics/business, High performance computing, Mathematics/statistics","helper, instructor",A workshop,Other
group_name,grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",helper,None,Other
group_name,grad,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",,A certification or short course,Primary instructor for a full course
group_name,grad,US,"High performance computing, Physics",,Other,Primary instructor for a full course
group_name,grad,US,Medicine,learner,None,None
,postdoc,US,"Computer science/electrical engineering, Mathematics/statistics, Physics",,Other,Primary instructor for a full course
group_name,grad,US,Social sciences,learner,A certification or short course,A few hours
,faculty,US,"Economics/business, Library and information science",,None,Primary instructor for a full course
group_name,grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",helper,None,Other
group_name,,US,"Computer science/electrical engineering, Education, Planetary sciences (geology, climatology, oceanography, etc.), Space sciences",,Other,Primary instructor for a full course
,postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,Other,Primary instructor for a full course
,librarian,US,Library and information science,"helper, host, organizer",Other,Other
group_name,support,US,"Chemistry, High performance computing",,A certification or short course,Primary instructor for a full course
group_name,grad,CA,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering",helper,A workshop,Primary instructor for a full course
group_name,research,US,"Computer science/electrical engineering, Library and information science, Mathematics/statistics",,Other,A few hours
,postdoc,US,"Genetics, genomics, bioinformatics",,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Education, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",,Other,Other
group_name,postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,A workshop,Primary instructor for a full course
group_name,grad,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Education, Mathematics/statistics",helper,A certification or short course,Primary instructor for a full course
,faculty,US,Mathematics/statistics,,A full degree,Primary instructor for a full course
group_name,faculty,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",,A certification or short course,Primary instructor for a full course
group_name,librarian,CA,"Humanities, Library and information science",learner,A full degree,Primary instructor for a full course
group_name,grad,CA,"Civil, mechanical, chemical, or nuclear engineering",helper,A workshop,None
group_name,grad,CA,"Economics/business, Mathematics/statistics",,None,None
group_name,grad,CA,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A few hours,A few hours
,faculty,CA,Computer science/electrical engineering,,Other,Primary instructor for a full course
group_name,grad,CA,"Computer science/electrical engineering, Education, Mathematics/statistics",learner,A full degree,Other
group_name,grad,US,Psychology/neuroscience,learner,A few hours,Primary instructor for a full course
group_name,,US,Social sciences,,Other,Other
group_name,postdoc,US,"Humanities, Social sciences",,A certification or short course,Primary instructor for a full course
group_name,support,US,Mathematics/statistics,helper,A workshop,Primary instructor for a full course
group_name,grad,US,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",helper,A certification or short course,Other
group_name,grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Mathematics/statistics",helper,A workshop,A few hours
group_name,support,CA,"Humanities, Library and information science",learner,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Economics/business, Mathematics/statistics",,Other,Primary instructor for a full course
group_name,grad,US,"High performance computing, Mathematics/statistics",instructor,A certification or short course,Primary instructor for a full course
group_name,postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",,Other,Primary instructor for a full course
group_name,faculty,US,Mathematics/statistics,,None,None
group_name,faculty,US,Social sciences,,None,None
group_name,undergrad,US,"Mathematics/statistics, Physics",,None,Other
group_name,postdoc,GB,"Economics/business, Genetics, genomics, bioinformatics, Mathematics/statistics",helper,A full degree,Primary instructor for a full course
group_name,librarian,US,"Library and information science, Space sciences",learner,None,Primary instructor for a full course
,grad,CA,Social sciences,learner,None,Primary instructor for a full course
group_name,research,CA,"Economics/business, Education",learner,A full degree,Primary instructor for a full course
group_name,research,GB,"Mathematics/statistics, Physics",,None,A few hours
group_name,support,US,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner, contributor",A certification or short course,Primary instructor for a full course
group_name,commerce,AR,Computer science/electrical engineering,"helper, instructor, contributor",None,A few hours
group_name,grad,AR,Computer science/electrical engineering,"helper, instructor, learner, contributor",None,A few hours
group_name,grad,AR,"Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.), Social sciences","helper, instructor, learner, contributor",None,Primary instructor for a full course
group_name,undisclosed,AR,,"helper, instructor, contributor",None,A few hours
group_name,research,US,"High performance computing, Physics",learner,None,None
group_name,postdoc,US,"Genetics, genomics, bioinformatics",learner,A few hours,Primary instructor for a full course
,grad,GR,"Computer science/electrical engineering, Education",,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Chemistry, Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A certification or short course,A few hours
,,US,"Planetary sciences (geology, climatology, oceanography, etc.)","learner, organizer",Other,A few hours
,,US,"Economics/business, Education, Library and information science",,A full degree,Primary instructor for a full course
group_name,postdoc,US,"Chemistry, Civil, mechanical, chemical, or nuclear engineering, High performance computing",,A few hours,Other
group_name,,GB,"Computer science/electrical engineering, High performance computing","helper, learner",A workshop,Primary instructor for a full course
,,ES,"Computer science/electrical engineering, Mathematics/statistics",learner,None,Primary instructor for a full course
group_name,research,GB,"Computer science/electrical engineering, Education, High performance computing, Mathematics/statistics",,None,Primary instructor for a full course
,support,NZ,"Genetics, genomics, bioinformatics",learner,None,Other
group_name,research,US,"Computer science/electrical engineering, High performance computing, Physics",,None,Primary instructor for a full course
group_name,research,US,"Economics/business, Mathematics/statistics, Social sciences","learner, contributor",Other,Primary instructor for a full course
,grad,ZA,"Genetics, genomics, bioinformatics, Mathematics/statistics, Medicine",,Other,A few hours
group_name,grad,GB,Social sciences,learner,A workshop,A few hours
group_name,faculty,US,Mathematics/statistics,,A full degree,Primary instructor for a full course
,faculty,US,"Computer science/electrical engineering, Humanities, Psychology/neuroscience, Social sciences","helper, learner",A certification or short course,Primary instructor for a full course
group_name,support,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",learner,None,None
group_name,research,US,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.), Space sciences",,None,Primary instructor for a full course
,grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",helper,A certification or short course,Primary instructor for a full course
group_name,faculty,US,"Education, Mathematics/statistics",,A full degree,Primary instructor for a full course
group_name,faculty,GB,Social sciences,learner,Other,Primary instructor for a full course
group_name,grad,NL,"Computer science/electrical engineering, Mathematics/statistics","helper, contributor",A few hours,Primary instructor for a full course
group_name,,NL,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Education, High performance computing",,A certification or short course,Other
group_name,postdoc,FR,"Genetics, genomics, bioinformatics","helper, instructor, host, learner, organizer",A workshop,A few hours
group_name,support,NL,"Chemistry, Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Physics, Planetary sciences (geology, climatology, oceanography, etc.), Psychology/neuroscience",,None,A few hours
group_name,support,NL,"Computer science/electrical engineering, High performance computing",helper,None,Primary instructor for a full course
,postdoc,NL,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",,None,None
group_name,support,NL,"Genetics, genomics, bioinformatics",,None,None
group_name,support,NL,"Chemistry, Computer science/electrical engineering",learner,A workshop,Primary instructor for a full course
group_name,support,NL,"Chemistry, Genetics, genomics, bioinformatics",,None,None
,grad,US,"Civil, mechanical, chemical, or nuclear engineering, Genetics, genomics, bioinformatics",,Other,Primary instructor for a full course
group_name,librarian,US,"Computer science/electrical engineering, Humanities, Library and information science, Physics, Social sciences",helper,None,A few hours
group_name,support,US,,helper,None,None
group_name,support,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics","helper, host",A full degree,Primary instructor for a full course
group_name,support,US,"Computer science/electrical engineering, High performance computing","helper, learner",None,None
group_name,support,US,"Computer science/electrical engineering, High performance computing","helper, learner",A certification or short course,A few hours
group_name,postdoc,US,"Civil, mechanical, chemical, or nuclear engineering",,None,A few hours
group_name,grad,GB,Computer science/electrical engineering,,None,None
group_name,grad,US,Social sciences,learner,A workshop,Other
group_name,faculty,US,"Planetary sciences (geology, climatology, oceanography, etc.)",,None,None
,librarian,US,"Library and information science, Social sciences",,A certification or short course,Primary instructor for a full course
group_name,research,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",,None,A few hours
,research,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",,None,A few hours
,,US,"Chemistry, Physics",,,Other
group_name,,US,"Economics/business, Library and information science, Social sciences",,A certification or short course,A few hours
,grad,AU,"Planetary sciences (geology, climatology, oceanography, etc.)",,A full degree,Primary instructor for a full course
group_name,research,US,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.), Space sciences",learner,None,Primary instructor for a full course
,,GR,"Computer science/electrical engineering, Genetics, genomics, bioinformatics","helper, learner",None,Primary instructor for a full course
group_name,support,US,"Computer science/electrical engineering, High performance computing",,None,Primary instructor for a full course
group_name,research,US,"High performance computing, Physics",helper,A workshop,Primary instructor for a full course
,grad,US,"Genetics, genomics, bioinformatics",instructor,Other,Primary instructor for a full course
,postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",,None,Primary instructor for a full course
,postdoc,ZA,"Organismal biology (ecology, botany, zoology, microbiology)",,None,None
group_name,grad,US,"Civil, mechanical, chemical, or nuclear engineering",,None,A few hours
,grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,A few hours,A few hours
,librarian,US,"Economics/business, Humanities, Library and information science",,None,A few hours
group_name,postdoc,US,"Economics/business, Organismal biology (ecology, botany, zoology, microbiology), Psychology/neuroscience",,Other,Other
,commerce,US,"Computer science/electrical engineering, Education, High performance computing, Mathematics/statistics, Medicine, Physics, Psychology/neuroscience, Space sciences",learner,A certification or short course,Other
group_name,research,US,Psychology/neuroscience,,Other,Primary instructor for a full course
group_name,research,US,,learner,A certification or short course,A few hours
,postdoc,US,"Genetics, genomics, bioinformatics",,A few hours,Primary instructor for a full course
group_name,grad,US,Social sciences,,A workshop,A few hours
group_name,grad,US,"Economics/business, Genetics, genomics, bioinformatics, Mathematics/statistics, Social sciences",,None,None
,grad,CH,"Genetics, genomics, bioinformatics",helper,None,Other
group_name,grad,US,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",,None,A few hours
group_name,research,US,"Computer science/electrical engineering, Mathematics/statistics",,None,None
,postdoc,US,Computer science/electrical engineering,helper,None,A few hours
group_name,research,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",,None,None
group_name,grad,NZ,Chemistry,"helper, instructor",None,Primary instructor for a full course
,postdoc,GB,"Genetics, genomics, bioinformatics",helper,None,Primary instructor for a full course
,commerce,US,Computer science/electrical engineering,,None,Primary instructor for a full course
group_name,librarian,US,"Library and information science, Social sciences",learner,None,None
,grad,US,Social sciences,,None,None
,faculty,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",,None,None
group_name,research,US,"Mathematics/statistics, Psychology/neuroscience, Social sciences",,None,Other
group_name,,US,Computer science/electrical engineering,,None,None
group_name,support,US,"Chemistry, Civil, mechanical, chemical, or nuclear engineering, Genetics, genomics, bioinformatics, High performance computing, Physics",learner,None,Primary instructor for a full course
group_name,research,GB,,"helper, learner",None,Other
group_name,research,US,"Computer science/electrical engineering, Education, High performance computing, Space sciences",learner,A workshop,Other
group_name,faculty,UY,Social sciences,,None,None
group_name,research,US,"Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)","helper, host, learner",A certification or short course,Primary instructor for a full course
group_name,research,US,"Computer science/electrical engineering, High performance computing",,A workshop,Primary instructor for a full course
group_name,research,GB,Computer science/electrical engineering,,None,None
,,NG,"Organismal biology (ecology, botany, zoology, microbiology)",learner,None,None
,librarian,US,"Library and information science, Social sciences","helper, instructor, host, organizer",A certification or short course,A few hours
group_name,research,GB,"Computer science/electrical engineering, Humanities",helper,A certification or short course,Primary instructor for a full course
group_name,postdoc,AU,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,A few hours,A few hours
group_name,research,US,,,A certification or short course,A few hours
group_name,research,US,"Planetary sciences (geology, climatology, oceanography, etc.)",,None,A few hours
group_name,commerce,US,Computer science/electrical engineering,learner,None,Other
group_name,librarian,US,Library and information science,"helper, learner",None,Other
group_name,librarian,US,Library and information science,"helper, learner",None,A few hours
group_name,support,US,"Education, Library and information science, Organismal biology (ecology, botany, zoology, microbiology), Social sciences","learner, contributor",A full degree,Primary instructor for a full course
,research,GB,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",,None,Primary instructor for a full course
group_name,research,GB,"High performance computing, Mathematics/statistics",,None,Primary instructor for a full course
,faculty,CN,Economics/business,learner,A certification or short course,Primary instructor for a full course
,research,AU,"Genetics, genomics, bioinformatics",,None,None
group_name,research,AU,"Genetics, genomics, bioinformatics",,None,Primary instructor for a full course
group_name,grad,MX,Social sciences,,A few hours,Primary instructor for a full course
group_name,research,AU,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",Other,Other
,postdoc,GB,"Genetics, genomics, bioinformatics","helper, learner",A few hours,A few hours
,grad,US,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
group_name,support,NZ,"Chemistry, Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",,A few hours,Primary instructor for a full course
,librarian,US,"Humanities, Library and information science",learner,A workshop,A few hours
group_name,,NZ,"Computer science/electrical engineering, Library and information science, Mathematics/statistics",learner,None,Primary instructor for a full course
,faculty,US,"Computer science/electrical engineering, Education, Mathematics/statistics",,A certification or short course,Primary instructor for a full course
,librarian,US,Library and information science,helper,None,A few hours
group_name,faculty,NZ,"Organismal biology (ecology, botany, zoology, microbiology)",learner,Other,Primary instructor for a full course
group_name,support,US,Computer science/electrical engineering,,A few hours,A few hours
group_name,grad,US,"Chemistry, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,Primary instructor for a full course
,,ZA,"Computer science/electrical engineering, Economics/business, Mathematics/statistics",,None,A few hours
group_name,support,ZA,"Education, Humanities",,None,Primary instructor for a full course
group_name,postdoc,ZA,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)","helper, contributor",None,None
,support,AU,"Computer science/electrical engineering, Economics/business, Education, Humanities, Social sciences",learner,A full degree,Primary instructor for a full course
group_name,research,ZA,"Genetics, genomics, bioinformatics","helper, contributor",None,None
,grad,US,"Medicine, Organismal biology (ecology, botany, zoology, microbiology)",learner,Other,Primary instructor for a full course
group_name,,NZ,"Computer science/electrical engineering, Library and information science",learner,None,A few hours
group_name,support,US,"Organismal biology (ecology, botany, zoology, microbiology), Social sciences",,None,Primary instructor for a full course
group_name,research,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,Primary instructor for a full course
group_name,librarian,NZ,"Education, Humanities, Library and information science, Social sciences",learner,A full degree,Other
group_name,grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",,None,None
group_name,support,US,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",,None,Other
,grad,US,"Computer science/electrical engineering, High performance computing, Medicine, Psychology/neuroscience",learner,A workshop,None
,grad,US,"Planetary sciences (geology, climatology, oceanography, etc.)","learner, contributor",A workshop,A few hours
group_name,support,US,"Computer science/electrical engineering, High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",,None,A few hours
group_name,research,US,"Chemistry, High performance computing",,None,Other
group_name,grad,US,"Education, Genetics, genomics, bioinformatics, High performance computing",learner,A workshop,Primary instructor for a full course
group_name,postdoc,US,Mathematics/statistics,,None,Primary instructor for a full course
group_name,support,US,"Chemistry, Education, Physics",,A few hours,Other
group_name,support,US,,,None,A few hours
,,IN,"Mathematics/statistics, Social sciences",,None,A few hours
group_name,support,US,"Chemistry, Computer science/electrical engineering, High performance computing",learner,A few hours,Primary instructor for a full course
group_name,faculty,US,"Education, Mathematics/statistics, Physics",,A full degree,Primary instructor for a full course
group_name,grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",,Other,Other
