Date,WhenTaking,MemberSite,MemberSiteOther,UniqueID,InformationReasonableTime,AtmosphereWelcoming,LearnedSkills,Material,Recommend,Worth,Pace,HandsOn,TrainersClearAnswers,TrainersConsiderate,TrainersCommunicators,TrainersEnthusiastic,NewInformation,LiveCodingPostAbility,WebsitePostAbility,ConceptMapsPostAbility,MCQPostAbility,LearningObjectivesPostAbility,KnowledgeFormativeAssessmentPost,KnowledgeFeedbackPost,KnowledgeNovicePost,KnowledgeHumanMemoryPost,KnowledgeCognitiveLoadPost,KnowledgeCarpentriesPost,KnowledgeMotivationStrategiesPost,MotivationFormativeAssessmentPost,MotivationFeedbackPost,MotivationNovicePost,MotivationHumanMemoryPost,MotivationCognitiveLoadPost,MotivationCarpentriesPost,MotivationMotivationStrategiesPost,CompleteTraining,CompleteTrainingOther,LikelyToRecommend,Workshop ID
8/24/18 0:56,"I have just completed the training, and am taking it at the event",AUG 23-24 (Otago),,2chyor,Agree,Agree,Agree,Agree,,Agree,Slightly slow,Balanced (lecture/hands-on),Often,Often,Often,Often,About half of it,Extremely able,Moderately able,Moderately able,Neutral,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,No change in motivation,More motivated,No change in motivation,More motivated,No change in motivation,More motivated,More motivated,"Yes, I understand",,8,
8/24/18 0:59,"I have just completed the training, and am taking it at the event",AUG 23-24 (Otago),,2lagil,Agree,Strongly Agree,Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Some of it,Extremely able,Moderately able,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Slightly less motivated,Less motivated,Less motivated,Less motivated,Less motivated,Less motivated,Less motivated,"Yes, I understand",,10,instructor-training
8/19/18 13:55,"I have just completed the training, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18 18:39,"I have recently completed the training, and am taking it after I left the event",My training event is not listed,2018-05-21-ttt-UW_eScience,0GR159,Agree,Strongly Agree,Strongly Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,Often,Some of it,Moderately able,Moderately able,Neutral,Moderately able,Moderately able,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,Could use some more details,,8,
8/16/18 10:39,"I have recently completed the training, and am taking it after I left the event",AUG 14-15 (Online),,1leuni,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,,Agree,Slightly fast,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,About half of it,Moderately able,Moderately able,Slightly able,Neutral,Slightly able,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,More motivated,No change in motivation,No change in motivation,More motivated,More motivated,No change in motivation,No change in motivation,"Yes, I understand",,7,
8/16/18 1:46,"I have recently completed the training, and am taking it after I left the event",AUG 14-15 (Online),,0meval,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Neither Agree nor Disagree,Too slow,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,Some of it,Moderately able,Moderately able,Moderately able,Moderately able,Moderately able,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,No change in motivation,Much more motivated,No change in motivation,More motivated,More motivated,No change in motivation,Much more motivated,"Yes, I understand",,3,
8/15/18 20:09,"I have just completed the training, and am taking it at the event",AUG 14-15 (Online),,0choce,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,,Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,About half of it,Extremely able,Moderately able,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,Much more motivated,More motivated,Much more motivated,Much more motivated,More motivated,Much more motivated,"Yes, I understand",,8,
8/15/18 20:11,"I have just completed the training, and am taking it at the event",AUG 14-15 (Online),,0launi,Agree,Strongly Agree,Agree,Agree,,Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,Often,All of the time,About half of it,Moderately able,Neutral,Neutral,Slightly able,Moderately able,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,8,
8/15/18 20:11,"I have just completed the training, and am taking it at the event",AUG 14-15 (Online),,2reste,Disagree,Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Most of it,Extremely able,Moderately able,Moderately able,Extremely able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,No change in motivation,Much more motivated,Much more motivated,More motivated,Much more motivated,"Yes, I understand",,8,
8/15/18 19:59,"I have just completed the training, and am taking it at the event",AUG 14-15 (Online),,1shbal,Agree,Agree,Agree,Agree,,Agree,Too slow,Too much lecture,Often,All of the time,Often,All of the time,Some of it,Moderately able,Neutral,Moderately able,Extremely able,Extremely able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,No change in motivation,No change in motivation,More motivated,No change in motivation,No change in motivation,No change in motivation,No change in motivation,Could use some more details,,3,
8/15/18 19:57,"I have just completed the training, and am taking it at the event",AUG 14-15 (Online),,2wibro,Agree,Agree,Strongly Disagree,Agree,,Disagree,Too slow,Balanced (lecture/hands-on),All of the time,Often,Often,Often,Some of it,Extremely able,Moderately able,Extremely able,Extremely able,Extremely able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,"Yes, I understand",,5,
8/15/18 20:02,"I have just completed the training, and am taking it at the event",AUG 14-15 (Online),,1bugle,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,Extremely able,Extremely able,Moderately able,Extremely able,Extremely able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,9,
8/15/18 19:04,"I have just completed the training, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18 17:49,"I have just completed the training, and am taking it at the event",AUG 7-8 (Northwestern University),,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,Extremely able,Extremely able,Extremely able,Extremely able,Extremely able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"No, not clear at all",,10,instructor-training
8/8/18 17:51,"I have just completed the training, and am taking it at the event",AUG 7-8 (Northwestern University),,1soezr,Agree,Strongly Agree,Strongly Agree,Agree,,Agree,Slightly slow,Slightly too much lecture,Often,All of the time,All of the time,All of the time,Some of it,Moderately able,Extremely able,Moderately able,Neutral,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,No change in motivation,More motivated,More motivated,No change in motivation,More motivated,More motivated,Much more motivated,"Yes, I understand",,7,
8/8/18 17:48,"I have just completed the training, and am taking it at the event",AUG 7-8 (Northwestern University),,1chont,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Some of it,Moderately able,Not at all able,Moderately able,Slightly able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,9,instructor-training
8/8/18 17:49,"I have just completed the training, and am taking it at the event",AUG 7-8 (Northwestern University),,2yoken,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,All of it,Moderately able,Neutral,Moderately able,Moderately able,Moderately able,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,More motivated,Much more motivated,No change in motivation,No change in motivation,No change in motivation,More motivated,Much more motivated,"Yes, I understand",,10,
8/8/18 17:50,"I have just completed the training, and am taking it at the event",AUG 7-8 (Northwestern University),,1sfcol,Agree,Agree,Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),Sometimes,Often,Often,Often,Some of it,Neutral,Slightly able,Neutral,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,6,instructor-training
8/8/18 17:47,"I have just completed the training, and am taking it at the event",AUG 7-8 (Northwestern University),,3ftell,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Most of it,Moderately able,Slightly able,Neutral,Neutral,Not at all able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,No change in motivation,More motivated,Much more motivated,More motivated,No change in motivation,More motivated,More motivated,"Yes, I understand",,10,
8/8/18 17:47,"I have just completed the training, and am taking it at the event",AUG 7-8 (Northwestern University),,1recou,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Some of it,Moderately able,Neutral,Moderately able,Extremely able,Extremely able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,8,
7/24/18 11:58,"I have recently completed the training, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/18 18:46,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,2mamor,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,Moderately able,Moderately able,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,8,
7/19/18 18:41,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,1cosou,Disagree,Agree,Agree,Agree,,Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,Often,Often,Most of it,Moderately able,Extremely able,Neutral,Neutral,Moderately able,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,Much more motivated,More motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,7,
7/19/18 18:42,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,5pe86t,Agree,Strongly Agree,Agree,Agree,,Agree,Slightly slow,Slightly too much lecture,Often,All of the time,Often,Often,Some of it,Extremely able,Slightly able,Slightly able,Extremely able,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,No change in motivation,No change in motivation,More motivated,More motivated,No change in motivation,More motivated,No change in motivation,"Yes, I understand",,9,
7/19/18 18:41,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,1abwes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,Moderately able,Moderately able,Moderately able,Extremely able,Extremely able,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,Slightly less motivated,More motivated,More motivated,Slightly less motivated,No change in motivation,"Yes, I understand",,9,
7/19/18 18:38,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,1sabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/18 18:44,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,1stsai,Agree,Strongly Agree,Strongly Agree,Agree,,Agree,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,About half of it,Extremely able,Extremely able,Moderately able,Extremely able,Extremely able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,7,
7/19/18 18:41,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,0sthou,Agree,Strongly Agree,Strongly Agree,Agree,,Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Some of it,Extremely able,Moderately able,Moderately able,Moderately able,Neutral,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,No change in motivation,No change in motivation,No change in motivation,More motivated,More motivated,"Yes, I understand",,7,
7/19/18 18:40,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,2brcab,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Too slow,Slightly too much lecture,Often,All of the time,Often,All of the time,Most of it,Moderately able,Extremely able,Moderately able,Moderately able,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Much more motivated,No change in motivation,More motivated,Much more motivated,Much more motivated,More motivated,More motivated,"Yes, I understand",,10,
7/19/18 18:35,"I have just completed the training, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/18 18:41,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,4ni214,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,Extremely able,Moderately able,Moderately able,Moderately able,Moderately able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,No change in motivation,No change in motivation,More motivated,More motivated,No change in motivation,More motivated,"Yes, I understand",,10,
7/19/18 18:38,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,7fthud,Agree,Agree,Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,All of it,Moderately able,Moderately able,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,5,
7/19/18 18:38,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,1ta27a,Agree,Strongly Agree,Strongly Agree,Agree,,Agree,Slightly slow,Slightly too much lecture,Often,All of the time,All of the time,Often,Most of it,Moderately able,Moderately able,Neutral,Moderately able,Moderately able,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,No change in motivation,More motivated,No change in motivation,More motivated,No change in motivation,"Yes, I understand",,6,
7/19/18 18:34,"I have just completed the training, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/18 18:38,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,0zi113,Agree,Agree,Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),Often,Often,Often,Often,Most of it,Moderately able,Slightly able,Slightly able,Moderately able,Moderately able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,8,
7/19/18 18:37,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,0stope,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,Neither Agree nor Disagree,Just right,Balanced (lecture/hands-on),Often,Often,Often,Often,Some of it,Moderately able,Slightly able,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,4,
7/19/18 18:36,"I have just completed the training, and am taking it at the event",My training event is not listed,2018-07-19-erdc,1biber,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Slightly slow,Slightly too much hands-on,All of the time,All of the time,All of the time,Often,About half of it,Extremely able,Extremely able,Extremely able,Extremely able,Moderately able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,No change in motivation,No change in motivation,No change in motivation,Much more motivated,Much more motivated,More motivated,More motivated,"Yes, I understand",,7,
7/19/18 17:37,"I have just completed the training, and am taking it at the event",JULY 18-19 (Online),,5occom,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,Neither Agree nor Disagree,Too slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Some of it,Extremely able,Not at all able,Not at all able,Not at all able,Slightly able,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,No change in motivation,Much more motivated,No change in motivation,No change in motivation,No change in motivation,More motivated,Much more motivated,Could use some more details,,2,
7/16/18 23:07,"I have recently completed the training, and am taking it after I left the event",JULY 9-10 (SciPy),,0flmed,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,Moderately able,Extremely able,Slightly able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Much more motivated,More motivated,No change in motivation,More motivated,More motivated,No change in motivation,More motivated,"Yes, I understand",,10,
7/16/18 5:07,"I have recently completed the training, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/18 21:23,"I have just completed the training, and am taking it at the event",JULY 9-10 (SciPy),,6baway,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Slightly too much lecture,Often,All of the time,Often,All of the time,Some of it,Extremely able,Moderately able,Moderately able,Extremely able,Extremely able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,8,
7/10/18 18:43,"I have recently completed the training, and am taking it after I left the event",JULY 9-10 (SciPy),,1lacol,Disagree,Strongly Agree,Agree,Agree,,Agree,Slightly fast,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,Some of it,Moderately able,Slightly able,Neutral,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,No change in motivation,No change in motivation,No change in motivation,More motivated,More motivated,"Yes, I understand",,6,
7/2/18 13:56,"I have recently completed the training, and am taking it after I left the event",JUNE 27-28 (Online),,1dalym,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,Neither Agree nor Disagree,Slightly fast,Slightly too much lecture,Sometimes,Sometimes,Sometimes,Sometimes,Some of it,Neutral,Neutral,Neutral,Neutral,Neutral,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,Could use some more details,,6,
6/28/18 17:48,"I have just completed the training, and am taking it at the event",JUNE 27-28 (Online),,3laluh,Agree,Strongly Agree,Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),Often,Often,Often,Often,About half of it,Moderately able,Neutral,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,Much more motivated,More motivated,"Yes, I understand",,8,
6/28/18 17:55,"I have just completed the training, and am taking it at the event",JUNE 27-28 (Online),,1igsky,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Some of it,Neutral,Neutral,Extremely able,Neutral,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,10,
6/28/18 17:51,"I have recently completed the training, and am taking it after I left the event",JUNE 27-28 (Online),,2chkno,Agree,Strongly Agree,Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Some of it,Moderately able,Moderately able,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,More motivated,No change in motivation,More motivated,No change in motivation,More motivated,No change in motivation,More motivated,"Yes, I understand",,8,
6/28/18 17:45,"I have just completed the training, and am taking it at the event",JUNE 27-28 (Online),,2flken,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,About half of it,Extremely able,Slightly able,Extremely able,Extremely able,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,More motivated,No change in motivation,"Yes, I understand",,9,
6/28/18 17:50,"I have just completed the training, and am taking it at the event",JUNE 27-28 (Online),,2masou,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,Extremely able,Moderately able,Moderately able,Moderately able,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,10,
6/28/18 17:42,"I have just completed the training, and am taking it at the event",JUNE 27-28 (Online),,3garos,Disagree,Strongly Agree,Agree,Strongly Agree,,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Most of it,Moderately able,Moderately able,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,No change in motivation,More motivated,No change in motivation,No change in motivation,More motivated,More motivated,"Yes, I understand",,,
6/28/18 17:38,"I have just completed the training, and am taking it at the event",JUNE 27-28 (Online),,2caurs,Strongly Agree,Strongly Agree,Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,Often,Often,About half of it,Extremely able,Moderately able,Moderately able,Slightly able,Neutral,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,More motivated,No change in motivation,More motivated,Much more motivated,Much more motivated,More motivated,No change in motivation,"Yes, I understand",,10,
6/28/18 17:35,"I have just completed the training, and am taking it at the event",JUNE 27-28 (Online),,4dariv,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,Extremely able,Moderately able,Extremely able,Extremely able,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Much more motivated,Much more motivated,Much more motivated,Much more motivated,More motivated,Much more motivated,Much more motivated,"Yes, I understand",,9,
6/28/18 17:32,"I have just completed the training, and am taking it at the event",JUNE 27-28 (Online),,0foeas,Agree,Agree,Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Some of it,Moderately able,Neutral,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,No change in motivation,More motivated,More motivated,More motivated,More motivated,Much more motivated,More motivated,"Yes, I understand",,8,
6/28/18 17:29,"I have just completed the training, and am taking it at the event",JUNE 27-28 (Online),,1pawal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Most of it,Extremely able,Moderately able,Moderately able,Extremely able,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,8,
